symbol,reported_date,methodology,outlook_sentiment_score,source_speaker,sentence_count,outlook_sentiment_zscore
HON,2024-10-24,FinBERT,0.37490276508630765,CFO,110,-0.014744897519826224
HWM,2024-02-13,FinBERT,0.5137546895948447,CFO,157,0.6430150929749735
HWM,2024-05-02,FinBERT,0.5054008712717876,CFO,115,0.6034419471203655
HWM,2024-07-30,FinBERT,0.4546040579585843,CFO,90,0.3628107022865611
HWM,2024-11-06,FinBERT,0.45387940137634564,CFO,78,0.35937790790267066
IBM,2024-01-24,FinBERT,0.549952674160762,CFO,31,0.8144897489315408
IBM,2024-04-24,FinBERT,0.6028047072760613,CFO,108,1.064856842672562
IBM,2024-07-24,FinBERT,0.5399080179285708,CFO,18,0.7669068795460798
IBM,2024-10-23,FinBERT,0.5152696102532262,CFO,97,0.6501914731467592
INTC,2024-01-25,FinBERT,0.4283248253895591,CFO,66,0.23832249064675878
INTC,2024-04-25,FinBERT,0.17174373688581196,CFO,51,-0.9771361710370673
INTC,2024-08-01,FinBERT,0.14558805496840685,CFO,67,-1.1010391068463554
INTC,2024-10-31,FinBERT,0.08878697898906579,CFO,54,-1.3701133406281758
INTU,2024-02-22,FinBERT,0.5563524556011606,CFO,63,0.8448063627941496
INTU,2024-05-23,FinBERT,0.5857586957257311,CFO,64,0.9841076241435093
INTU,2024-08-22,FinBERT,0.6334023584014228,CFO,79,1.2098019760195873
INTU,2024-11-21,FinBERT,0.5168314009668926,CFO,94,0.6575898829895623
ITW,2024-02-01,FinBERT,0.2721589504825486,CFO,67,-0.5014559802532378
ITW,2024-04-30,FinBERT,0.33367814767510207,CFO,74,-0.2100313802424994
ITW,2024-07-30,FinBERT,0.23653184336055078,CFO,62,-0.6702263140089051
ITW,2024-10-30,FinBERT,0.3268878011037444,CFO,73,-0.24219815295408698
JCI,2024-01-30,FinBERT,0.277621322415588,CFO,86,-0.47557999961075026
JCI,2024-05-01,FinBERT,0.305568616864437,CFO,77,-0.3431899575130619
JCI,2024-07-31,FinBERT,0.49461480362837723,CFO,71,0.552346913502955
JCI,2024-11-06,FinBERT,0.5744358259797963,CFO,83,0.930469687738803
LHX,2024-01-25,FinBERT,0.45074598056410803,CFO,54,0.3445344777451945
LHX,2024-04-25,FinBERT,0.6166297431093651,CFO,40,1.1303478718425979
LHX,2024-07-25,FinBERT,0.5133744606126492,CFO,34,0.641213897834179
LMT,2024-01-23,FinBERT,0.31360055002088316,CFO,69,-0.30514162440325265
LMT,2024-04-23,FinBERT,0.7579746851209729,CFO,9,1.7999176170449913
LMT,2024-07-23,FinBERT,0.7074573238711237,CEO,111,1.5606101737154594
LMT,2024-10-22,FinBERT,0.5737256567552245,CFO,37,0.9271055218904909
MMM,2024-01-23,FinBERT,0.22804675502565894,CFO,150,-0.7104213033276369
MMM,2024-04-30,FinBERT,0.32738117758005963,CFO,150,-0.23986096312023972
MMM,2024-07-26,FinBERT,0.24835068326722926,CFO,99,-0.6142389011430617
MMM,2024-10-22,FinBERT,0.4631523273064231,CFO,42,0.4033049884470366
MSFT,2024-01-30,FinBERT,0.4280388882665024,CFO,144,0.23696796855417984
MSFT,2024-04-25,FinBERT,0.5296257133156993,CFO,129,0.7181982382480533
MSFT,2024-07-30,FinBERT,0.4913033083106756,CFO,130,0.5366599207846
MSFT,2024-10-30,FinBERT,0.4217295176499376,CFO,134,0.2070796427605776
MU,2024-03-20,FinBERT,0.0,None,0,-1.7907090411387527
MU,2024-06-26,FinBERT,0.0,None,0,-1.7907090411387527
MU,2024-09-25,FinBERT,0.0,None,0,-1.7907090411387527
MU,2024-12-18,FinBERT,0.0,None,0,-1.7907090411387527
NOC,2024-01-25,FinBERT,0.48722541448884504,CFO,73,0.517342396659674
NOC,2024-04-25,FinBERT,0.5979986630289398,CFO,71,1.042089973365613
NOC,2024-07-25,FinBERT,0.5052550165217615,CFO,77,0.6027510138161977
NOC,2024-10-24,FinBERT,0.6330465706427336,CFO,77,1.2081165621976193
NOW,2024-01-24,FinBERT,0.7317715476111353,CFO,51,1.675789877797524
NOW,2024-04-24,FinBERT,0.6324739607889658,CFO,48,1.2054040333413958
NOW,2024-07-24,FinBERT,0.7079432686521988,CFO,54,1.5629121586228514
NOW,2024-10-23,FinBERT,0.7133006943371127,CFO,50,1.5882909949627748
NSC,2024-01-26,FinBERT,0.09142900923005783,CFO,15,-1.3575976928087246
NSC,2024-04-24,FinBERT,0.14323930744976468,CFO,113,-1.1121654354946975
NSC,2024-07-25,FinBERT,0.23485502267058417,CFO,33,-0.6781696361126337
NSC,2024-10-22,FinBERT,0.142081497039981,CFO,9,-1.1176501370343386
NVDA,2024-02-21,FinBERT,0.3970446502241783,CFO,116,0.09014415035885327
NVDA,2024-05-22,FinBERT,0.3865960833981481,CFO,129,0.04064790289595736
NVDA,2024-08-28,FinBERT,0.53067976211706,CFO,127,0.7231914072805895
NVDA,2024-11-20,FinBERT,0.44617339062602307,CFO,130,0.3228735124769281
ORCL,2024-03-11,FinBERT,0.48274607203705866,CEO,111,0.4961231571069027
ORCL,2024-06-11,FinBERT,0.46404802830714137,CEO,107,0.40754804293694696
ORCL,2024-09-09,FinBERT,0.4356839541746332,CEO,108,0.2731836601757609
ORCL,2024-12-09,FinBERT,0.5094239787626679,CEO,115,0.6224999411260467
PAYX,2024-04-02,FinBERT,0.37236300689199453,CFO,72,-0.02677606908380249
PAYX,2024-06-26,FinBERT,0.4994621728123589,CFO,33,0.5753095445191677
PAYX,2024-10-01,FinBERT,0.24229354468573416,CFO,77,-0.642932370318168
PAYX,2024-12-19,FinBERT,0.5570294347863172,CFO,47,0.8480133030218044
PCAR,2024-01-23,FinBERT,0.19601203463971614,CFO,9,-0.8621740244450584
PCAR,2024-04-30,FinBERT,0.2708125192096786,CFO,3,-0.5078342038491985
PCAR,2024-07-23,FinBERT,0.21422504178351826,CFO,4,-0.7758965929424619
PCAR,2024-10-22,FinBERT,0.0,None,0,-1.7907090411387527
PH,2024-02-01,FinBERT,0.041732097670102296,CFO,13,-1.5930185570927298
PH,2024-05-02,FinBERT,0.5350670707033541,CFO,150,0.743974670200659
PH,2024-08-08,FinBERT,0.5446740634804375,CFO,139,0.7894842697262271
PH,2024-10-31,FinBERT,0.17721266451967405,CFO,11,-0.9512291351699144
PLTR,2024-02-05,FinBERT,0.5106703245724824,CFO,167,0.6284040466032915
PLTR,2024-05-06,FinBERT,0.47404047115847553,CFO,141,0.45488357060915635
PLTR,2024-08-05,FinBERT,0.3006678643093667,CFO,124,-0.36640547264149786
PLTR,2024-11-04,FinBERT,0.5850317159239836,CFO,66,0.98066382436054
PWR,2024-02-22,FinBERT,0.5866261518076062,CFO,11,0.9882168787050746
PWR,2024-05-02,FinBERT,0.5575157029703259,CFO,12,0.850316819931805
PWR,2024-08-01,FinBERT,0.5647092755063481,CFO,15,0.8843937275415852
PWR,2024-10-31,FinBERT,0.6077846838925868,CFO,14,1.0884476526922586
QCOM,2024-01-31,FinBERT,0.5132379333867512,CFO,36,0.6405671502494634
QCOM,2024-05-01,FinBERT,0.25434511152926903,CFO,35,-0.5858424990721733
QCOM,2024-07-31,FinBERT,0.644129206143122,CFO,34,1.2606164771047732
QCOM,2024-11-06,FinBERT,0.46282668430697865,CFO,37,0.40176237434948336
RSG,2024-02-27,FinBERT,0.25304114987566884,CFO,36,-0.5920195384464092
RSG,2024-04-30,FinBERT,0.0,None,0,-1.7907090411387527
RSG,2024-07-24,FinBERT,0.06586326853646778,CFO,33,-1.4787059987621964
RSG,2024-10-29,FinBERT,-0.024540953131185636,CFO,3,-1.906962792431264
RTX,2024-01-23,FinBERT,0.37520503033406444,CFO,122,-0.013313026933983632
RTX,2024-04-23,FinBERT,0.0,None,0,-1.7907090411387527
RTX,2024-07-25,FinBERT,0.508006111094472,CFO,77,0.6157833138466167
RTX,2024-10-22,FinBERT,0.5700863296889151,CFO,82,0.9098655466793738
TDG,2024-02-08,FinBERT,0.273748570197051,CFO,35,-0.4939257407408777
TDG,2024-05-07,FinBERT,0.35007508012126265,CFO,29,-0.13235693555543748
TDG,2024-08-06,FinBERT,0.3573517625661591,CFO,26,-0.09788632527956424
TDG,2024-11-07,FinBERT,0.35729381755152917,CFO,8,-0.09816081850252169
TT,2024-02-01,FinBERT,0.4784046073577906,CFO,59,0.4755570628573895
TT,2024-04-30,FinBERT,0.5455555554435534,CFO,48,0.7936600141196347
TT,2024-07-31,FinBERT,0.6388893793762187,CFO,44,1.2357947224435277
TT,2024-10-30,FinBERT,0.5569471236815874,CFO,77,0.8476233843969363
TXN,2024-01-23,FinBERT,0.2743921729080118,CFO,36,-0.4908769093001728
TXN,2024-04-23,FinBERT,0.08648213446495277,CFO,29,-1.3810316949659966
TXN,2024-07-23,FinBERT,0.23981659171264233,CFO,34,-0.6546660252156683
TXN,2024-10-22,FinBERT,0.304495941407823,CFO,33,-0.34827136348308174
UBER,2024-02-07,FinBERT,0.750031717932065,CEO,8,1.7622907275282003
UBER,2024-05-08,FinBERT,0.26726219995218287,CFO,39,-0.5246525372596246
UBER,2024-08-06,FinBERT,0.45961438246724223,CFO,17,0.38654527429811497
UBER,2024-10-31,FinBERT,0.0,None,0,-1.7907090411387527
UNP,2024-01-25,FinBERT,0.2843235648432665,CFO,40,-0.4438305879182059
UNP,2024-04-25,FinBERT,0.3227815072235184,CFO,137,-0.26165021192400234
UNP,2024-07-25,FinBERT,0.550615025029881,CEO,75,0.8176273928851122
UNP,2024-10-24,FinBERT,0.5533596940118144,CFO,127,0.830629254039416
UPS,2024-01-30,FinBERT,0.11075925773473282,CFO,121,-1.2660277407342366
UPS,2024-04-23,FinBERT,0.0440884526229799,CFO,94,-1.581856191018993
UPS,2024-07-23,FinBERT,0.256627549965261,CFO,119,-0.5750302853468192
UPS,2024-10-24,FinBERT,0.45809463172168663,CFO,76,0.3793460133624867
URI,2024-01-24,FinBERT,0.3654015412209993,CFO,55,-0.0597534556759642
URI,2024-04-24,FinBERT,0.5685212043234504,CFO,38,0.9024513401485313
URI,2024-07-24,FinBERT,0.37839748218317915,CFO,36,0.00181004107793787
URI,2024-10-23,FinBERT,0.2814962883424815,CFO,33,-0.45722377185040375
WM,2024-02-12,FinBERT,0.8008927356625123,CFO,41,2.0032261172056978
WM,2024-04-24,FinBERT,0.5977955375441647,CFO,28,1.0411277409917528
WM,2024-07-24,FinBERT,0.6245718760772475,CFO,34,1.1679708095436994
WM,2024-10-28,FinBERT,0.6688822382302196,CFO,31,1.3778748745519458
