date,it_finbert_pit_zscore,industrials_finbert_pit_zscore,it_lexical_pit_zscore,industrials_lexical_pit_zscore
2024-02-17,-0.3349813800121537,0.6787527271337551,-0.5153055493282049,0.9865151179268268
2024-02-18,-0.3280385331866771,0.663305286726026,-0.5032044154105495,0.9565418240868268
2024-02-19,-0.3215102250737419,0.6488666945723853,-0.4919176332567281,0.9291444135271772
2024-02-20,-0.3153567807589424,0.6353317140965101,-0.4813577809225105,0.9039738870959276
2024-02-21,-0.3461008060807161,0.62260986277444,-0.5901289982001384,0.8807440482045805
2024-02-22,-0.2996471625707641,0.6167829971759218,-0.4930390474400558,0.8009357153235367
2024-02-23,-0.2945151158800101,0.6052872804346754,-0.4834414141612917,0.7832771568795749
2024-02-24,-0.2896380367594304,0.5944112756062466,-0.4743832993201095,0.7667373313236854
2024-02-25,-0.2849954892299531,0.5841012324907626,-0.4658159789319215,0.7512028916519021
2024-02-26,-0.2805692593238346,0.5743097091091397,-0.4576966749114179,0.7365759432552687
2024-02-27,-0.2763430538037884,0.5776234389549593,-0.4499876535574894,0.7192556604012682
2024-02-28,-0.1867578167509995,0.5684521124409513,-0.430286026924328,0.4294717292651449
2024-02-29,-0.1841995792194682,0.5597042154657661,-0.4235560378032948,0.4235410900500275
2024-03-01,-0.1817436707660516,0.5513481376750557,-0.417132267705987,0.4178495460708921
2024-03-02,-0.1793834464854714,0.5433554767715666,-0.4109921775381607,0.4123814520555358
2024-03-03,-0.177112850291055,0.5357006316975044,-0.405115484427313,0.4071225594669119
2024-03-04,-0.1749263494855804,0.528360457143947,-0.3994838794045797,0.4020598601660664
2024-03-05,-0.172818878004303,0.521313968752585,-0.3940807870961741,0.3971814509440207
2024-03-06,-0.1707857870036556,0.5145420904477972,-0.388891160231069,0.3924764157083066
2024-03-07,-0.2952611457077486,0.5080274369633616,-0.8010293189057351,0.3879347226678818
2024-03-08,-0.2917578123894836,0.501754125913154,-0.7868061134788049,0.3835471343108909
2024-03-09,-0.2883762944142615,0.4957076147767079,-0.7733146093271439,0.3793051283356857
2024-03-10,-0.2851096921146248,0.4898745589877522,-0.7604941476422802,0.3752008279941197
2024-03-11,-0.2146056464159876,0.4842426879713369,-0.7570984811747166,0.3712269405510217
2024-03-12,-0.2123509740369238,0.4788006965069481,-0.7452297878437311,0.3673767027653984
2024-03-13,-0.2101659039777548,0.4735381492274885,-0.7339023272229197,0.3636438324657374
2024-03-14,-0.2080469273225351,0.4684453964173674,-0.8488815167284223,0.3600224854304185
2024-03-15,-0.1700706602947908,0.4759775419310945,-0.721743442022487,0.4882573313151899
